Date,Open,High,Low,Close,Volume
2000-01-02,6784.37,6992.92,6762.11,6958.14,0
2000-01-09,6961.72,7159.33,6388.91,6780.96,0
2000-01-16,6785.47,7207.45,6783.22,7173.22,0
2000-01-23,7177.48,7306.48,6939.94,6992.75,0
2000-01-30,6987.59,7214.58,6809.64,7066.6,0
2000-02-06,7054.24,7491.79,6816.54,7444.61,0
2000-02-13,7450.79,7812.09,7263.19,7611.55,0
2000-02-20,7569.01,7699.97,7342.65,7573.78,0
2000-02-27,7568.34,7813.2,7447.71,7738.68,0
2000-03-05,7732.9,8022.48,7492.23,7960.03,0
2000-03-12,7960.09,8136.16,7877.19,7975.95,0
2000-03-19,7977.06,7991.07,7411.76,7710.92,0
2000-03-26,7716.24,7949.72,7677.08,7932.42,0
2000-04-02,7932.71,8031.21,7522.7,7599.39,0
2000-04-09,7599.78,7641.53,7205.86,7522.2,0
2000-04-16,7534.91,7614.81,7168.9,7214.83,0
2000-04-23,7201.66,7305.94,6890.96,7157.95,0
2000-04-30,7164.15,7444.28,7096.38,7414.68,0
2000-05-07,7407.53,7571.72,7321.43,7530.82,0
2000-05-14,7532.97,7532.97,7013.7,7269.28,0
2000-05-21,7266.08,7398.48,6958.92,6989.03,0
2000-05-28,6983.46,7040.57,6794.08,6938.33,0
2000-06-04,6956.14,7460.51,6956.14,7448.04,0
2000-06-11,7456.22,7486.4,7211.97,7257.52,0
2000-06-18,7251.29,7388.24,7131.4,7131.4,0
2000-06-25,7134.17,7270.2,6976.97,6980.41,0
2000-07-02,6986.89,7085.27,6851.84,6898.21,0
2000-07-09,6912.97,7090.11,6842.61,7052.22,0
2000-07-16,7052.68,7342.22,6955.58,7318.38,0
2000-07-23,7320.1,7503.32,7303.91,7373.26,0
2000-07-30,7377.98,7428.17,7076.37,7128.3,0
2000-08-06,7135.39,7251.88,6954.6,7016.59,0
2000-08-13,7020.65,7327.22,7020.65,7322.98,0
2000-08-20,7323.87,7380.19,7214.68,7232.42,0
2000-08-27,7233.74,7333.09,7147.15,7307.17,0
2000-09-03,7320.93,7397.12,7168.52,7344.67,0
2000-09-10,7355.74,7456.71,7248.94,7267.77,0
2000-09-17,7267.68,7273.3,6976.41,6999.54,0
2000-09-24,6959.93,6977.25,6468.46,6740.25,0
2000-10-01,6739.28,6884.63,6716.84,6798.12,0
2000-10-08,6800.07,6921.08,6712.48,6776.39,0
2000-10-15,6776.04,6776.04,6383.17,6661.3,0
2000-10-22,6668.12,6725.33,6297.49,6618.43,0
2000-10-29,6614.18,6930.36,6542.87,6924.68,0
2000-11-05,6921.33,7152.45,6880.18,7128.27,0
2000-11-12,7139.94,7185.66,6831.4,6851.69,0
2000-11-19,6839.98,6976.63,6690.61,6752.29,0
2000-11-26,6755.23,6794.41,6474.5,6664.18,0
2000-12-03,6665.25,6804.22,6361.43,6512.91,0
2000-12-10,6507.64,6745.91,6343.45,6691.25,0
2000-12-17,6702.25,6813.3,6331.3,6331.3,0
2000-12-24,6337.81,6505.75,6110.26,6251.4,0
2000-12-31,6252.11,6469.74,6252.11,6433.61,0
2001-01-07,6431.14,6556.94,6172.44,6382.31,0
2001-01-14,6368.83,6552.52,6293.49,6490.03,0
2001-01-21,6506.7,6737.18,6452.62,6651.53,0
2001-01-28,6652.46,6775.26,6594.19,6695.2,0
2001-02-04,6699.1,6795.14,6624.19,6638.2,0
2001-02-11,6633.78,6693.45,6497.07,6497.07,0
2001-02-18,6498.93,6603.17,6439.26,6439.26,0
2001-02-25,6441.26,6530.13,6071.35,6075.34,0
2001-03-04,6079.97,6284.81,6052.01,6159.02,0
2001-03-11,6172.35,6342.54,6134.02,6204.42,0
2001-03-18,6202.37,6202.37,5663.54,5734.49,0
2001-03-25,5732.85,5805.71,5351.48,5544.67,0
2001-04-01,5557.82,5944.25,5557.82,5829.95,0
2001-04-08,5843.37,5912.26,5383.99,5698.88,0
2001-04-15,5695.77,6019.26,5657.87,6002.3,0
2001-04-22,6004.32,6224.3,5827.62,6127.97,0
